Rajiv Chilaka;22
Jan Suter;21
Raúl Campos;19
Marcus Raboy;16
Suhas Kadav;16
Jay Karas;15
Cathy Garcia-Molina;13
Jay Chapman;12
Martin Scorsese;12
Youssef Chahine;12
Steven Spielberg;11
Don Michael Paul;10
David Dhawan;9
Anurag Kashyap;9
Shannon Hartman;9
Yilmaz Erdogan;9
Robert Rodriguez;8
Ryan Polito;8
Lance Bangs;8
Quentin Tarantino;8
Johnnie To;8
Justin G. Dyck;8
Kunle Afolayan;8
Hakan Algül;8
Hanung Bramantyo;8
Fernando Ayllón;8
Umesh Mehra;8
Troy Miller;8
Hidenori Inoue;7
Dibakar Banerjee;7
Clint Eastwood;7
Prakash Satam;7
Priyadarshan;7
Ram Gopal Varma;7
Noah Baumbach;7
Omoni Oboli;7
Ozan Açiktan;7
Lasse Hallström;7
Leslie Small;7
Mae Czarina Cruz;7
McG;7
S.S. Rajamouli;7
Ron Howard;7
Toshiya Shinohara;7
Robert Luketic;6
Robert Vince;6
Rocky Soraya;6
Sameh Abdulaziz;6
Sooraj R. Barjatya;6
Matt Askem;6
Michael Simon;6
Milan Luthria;6
Manny Rodriguez;6
Rajkumar Santoshi;6
Riri Riza;6
David Fincher;6
Ashutosh Gowariker;6
Anees Bazmee;6
Imtiaz Ali;6
Kevin Smith;6
Karan Johar;6
Joey So;6
Jesse V. Johnson;6
Vlad Yudin;6
Wenn V. Deramas;6
William Lau;6
Wong Jing;6
Zoya Akhtar;6
Steve Ball;6
Steve Brill;6
Steven Soderbergh;6
Tilak Shetty;6
Jay Roach;5
Joe Berlinger;5
John G. Avildsen;5
John Paul Tremblay;5
Khaled Marei;5
Ken Burns;5
Kivanç Baruönü;5
Ishi Rudell;5
Indra Kumar;5
Angga Dwimas Sasongko;5
Antoinette Jadaone;5
Anurag Basu;5
Andy Tennant;5
Ava DuVernay;5
Abbas Alibhai Burmawalla;5
Abhishek Chaubey;5
Alex Woo;5
David Batty;5
Detlev Buck;5
Rajiv Mehra;5
Rathindran R Prasad;5
Prakash Jha;5
Poj Arnon;5
Paul Thomas Anderson;5
Oliver Stone;5
Niyi Akinmolayan;5
Nagesh Kukunoor;5
Mani Ratnam;5
Madhur Bhandarkar;5
Mahesh Manjrekar;5
Lynn Shelton;5
Lana Wachowski;5
Lilly Wachowski;5
Mike Smith;5
Mike Clattenburg;5
Mastan Alibhai Burmawalla;5
Martin Campbell;5
Masahiko Murata;5
Shigeaki Kubo;5
Spike Lee;5
Stanley Moore;5
Robb Wells;5
Rohit Shetty;5
Thierry Donard;5
Wilson Yip;5
Vince Marcello;5
Vishal Bhardwaj;5
Rohit Jugraj;4
Rob Minkoff;4
Rob Reiner;4
Roger Kumble;4
Sam Liu;4
Savage Steve Holland;4
Sean McNamara;4
Stan Lathan;4
Shaun Paul Piccinino;4
Shyam Benegal;4
Maroun Baghdadi;4
Mike Flanagan;4
Mike Gunther;4
Michael Tiddes;4
Michael McKay;4
Mike Newell;4
Moses Inwang;4
Lucas Margutti;4
Luis Ara;4
Lee Tamahori;4
Nishikant Kamat;4
Paul Dugdale;4
Peter Farrelly;4
Peter Segal;4
Philippe Aractingi;4
Qaushiq Mukherjee;4
Raja Gosnell;4
Rakeysh Omprakash Mehra;4
David Zucker;4
Dennis Dugan;4
David Ayer;4
Cristina Jacob;4
Dan Villegas;4
Clay Glen;4
Conrad Helten;4
Christopher Storer;4
Chia-Liang Liu;4
Chris Stokes;4
Brad Anderson;4
Brian Levant;4
Bruno Garotti;4
Andrew Lau Wai-keung;4
Ahmad El-Badri;4
Ahmed Nader Galal;4
Alastair Fothergill;4
B. V. Nandini Reddy;4
Banjong Pisanthanakun;4
Barry Avrich;4
Bo Burnham;4
Antoine Fuqua;4
Antonio Campos;4
Hernán Zin;4
Hiroyuki Seshita;4
Hrishikesh Mukherjee;4
Fernando González Molina;4
Fajar Bustomi;4
Farah Khan;4
Farhan Akhtar;4
Edward Cotterill;4
Ernie Barbarash;4
Frank Capra;4
Gregory Hoblit;4
Kundan Shah;4
Kayode Kasum;4
Karthik Subbaraj;4
Jun Lana;4
John Huston;4
Jeremy Saulnier;4
Vikramaditya Motwane;4
Werner Herzog;4
Wael Ehsan;4
Wael Ihsan;4
Yoshiyuki Tomino;4
Terry Gilliam;4
Steve Carr;4
Subhash Ghai;4
Sudhir Mishra;4
Jeff Baena;3
Jeff Nichols;3
Jerry Rothwell;3
John Lee Hancock;3
Joel Coen;3
Joe Camp;3
John Asher;3
John Schultz;3
Jon M. Chu;3
John Fortenberry;3
Jon Rosenbaum;3
Jonathan Demme;3
Karyn Kusama;3
Julien Leclercq;3
Kemi Adetiba;3
Ken Ghosh;3
Kenneth Gyang;3
Kazuchika Kise;3
Ketan Mehta;3
Kevin MacDonald;3
Kief Davidson;3
Kim Nguyen;3
Kobun Shizuno;3
Greg Rankin;3
Gonzalo López-Gallego;3
Greg MacGillivray;3
Gerardo Olivares;3
Gilles Paquet-Brenner;3
Frank Coraci;3
Frank Oz;3
G.J. Echternkamp;3
Gabriele Muccino;3
Gajendra Ahire;3
Garry Marshall;3
Gastón Duprat;3
Ethan Coen;3
Ezekiel Norton;3
Elaine McMillion Sheldon;3
Eric Darnell;3
Florent Bodin;3
Hasan Karacadag;3
Hardik Mehta;3
Guillermo del Toro;3
Ifa Isfansyah;3
Ismail Farouk;3
Israel Adrián Caetano;3
Ishaya Bako;3
Ivan Reitman;3
Jane Campion;3
Jared Hess;3
Jalil Lespert;3
James Wan;3
Andrzej Bartkowiak;3
Anirban Majumder;3
Ashwin Saravanan;3
Asit Mohapatra;3
Atom Egoyan;3
Blair Simmons;3
Bobby Farrelly;3
Barak Goodman;3
Barry Levinson;3
Barry Sonnenfeld;3
Bejoy Nambiar;3
BB Sasore;3
Bedran Güzel;3
Aziz Mirza;3
Ahmed Al-Badry;3
Adriano Rudiman;3
Adze Ugah;3
Akiva Schaffer;3
Abhishek Kapoor;3
Adrian Teh;3
Adam Shankman;3
Adam Carolla;3
Abhinay Deo;3
Adam McKay;3
Abhishek Sharma;3
Andrew Duncan;3
Amr Arafa;3
Amitoj Mann;3
Andibachtiar Yusuf;3
Alexis Morante;3
Alfonso Cuarón;3
Alex Díaz;3
Alex Lehmann;3
Brett Haley;3
Bobcat Goldthwait;3
Burak Aksak;3
Cem Yilmaz;3
Chandrakant Kulkarni;3
Chapman Way;3
Chris Weitz;3
Chris Buck;3
Chris Howe;3
Charles Stone III;3
Cheh Chang;3
Christopher Nolen;3
Chris Smith;3
Cosima Spender;3
Craig Brewer;3
Dante Lam;3
David Michôd;3
David Mackenzie;3
David R. Ellis;3
Diego Pignataro;3
Dustin McKenzie;3
Drake Doremus;3
Eli Roth;3
Rako Prijanto;3
Rajiv Menon;3
Rajkumar Hirani;3
Prakash Mehra;3
Rano Karno;3
Reginald Hudlin;3
Ricky Gervais;3
Rob Cohen;3
Richard Weston;3
Remo D'Souza;3
Renny Harlin;3
Ribhu Dasgupta;3
Ric Roman Waugh;3
Raj Kumar Gupta;3
Raj Kapoor;3
Pratim D. Gupta;3
Phillip Noyce;3
Pidi Baiq;3
Petra Costa;3
Peyton Reed;3
Peter Spirer;3
Peter Jackson;3
Nila Madhab Panda;3
Noriyuki Abe;3
Obi Emelonye;3
Nate Adams;3
Neal Brennan;3
Neeraj Pandey;3
Olivier Assayas;3
Olivia M. Lamasan;3
Note Chern-Yim;3
Ömer Faruk Sorak;3
Onir;3
Orlando von Einsiedel;3
Pablo Larraín;3
Pang Ho-cheung;3
Pankaj Batra;3
Paul Greengrass;3
Paul W.S. Anderson;3
Paul Weitz;3
Latif Faiziyev;3
Leena Yadav;3
Leigh Janiak;3
Lekh Tandon;3
Les Mayfield;3
Linda Mendoza;3
Louis C.K.;3
Maclain Way;3
Mahesh Bhatt;3
Manolo Caro;3
Mahmoud Karim;3
Marcos Bucay;3
Marc Forster;3
Mark A.Z. Dippé;3
Momoko Kamiya;3
Morgan Neville;3
Munjal Shroff;3
Mikhail Red;3
Mohamed Hamdy;3
Mohamed Samy;3
Michèle Ohayon;3
Maria Ripoll;3
Mark Raso;3
Mark Waters;3
Matías Gueilburt;3
Michael Bay;3
Michael Dowse;3
Shyamal Chaulia;3
Shirish Kunder;3
Shawn Levy;3
Seyi Babatope;3
Soudade Kaadan;3
Simon Wells;3
Simon Wincer;3
Sofia Coppola;3
Sermiyan Midyat;3
Seth Barrish;3
Scott Stewart;3
Scott Zabielski;3
Sebastián Schindel;3
Satish Rajwade;3
Roger Allers;3
Roger Donaldson;3
Robert Zemeckis;3
Robert O. Peters;3
Roland Emmerich;3
Ron Myrick;3
Ron Oliver;3
Sachin Yardi;3
Steve Sacks;3
Steven C. Miller;3
Sumitra Bhave;3
Sujoy Ghosh;3
Sunil Sukthankar;3
Sylvester Stallone;3
Tate Taylor;3
Theodore Boborol;3
Tiller Russell;3
Tim Burton;3
Timo Tjahjanto;3
TJ Sullivan;3
Todd Phillips;3
Toka McBaror;3
Tom Hooper;3
Yoshikazu Yasuhiko;3
Wolfgang Petersen;3
Vivieno Caldinelli;3
Yasmin Ahmad;3
Walter C. Miller;3
Walter Hill;3
Vikas Bahl;3
Tope Oshin;3
Toshiyuki Kubooka;3
Vicky Matthews;3
S.S. Wilson;2
Ryan Coogler;2
Rudy Soedjarwo;2
Ruel S. Bayani;2
Ross Boyask;2
Rusty Cundieff;2
Ronna Gradus;2
Ruben Fleischer;2
Ross Kauffman;2
Roman Polanski;2
Ringo Lam;2
Ron Davis;2
Rob Seidenglanz;2
Robert Altman;2
Rod Blackhurst;2
Robin Swicord;2
Robert Kenner;2
Rodrigo Van Der Put;2
Satyajit Bhatkal;2
Sarjun;2
Sarah Adina Smith;2
Sarah Gavron;2
Saratswadee Wongsomphet;2
Satish Kaushik;2
Scott Aukerman;2
Scott L. Montoya;2
Scott Moore;2
Scott Moran;2
Sean Penn;2
Sean Cisterna;2
Scott Hicks;2
Sergio Leone;2
Sekhar Kammula;2
Selçuk Aydemir;2
Senol Sönmez;2
Sam Mendes;2
Sam Taplin;2
Sam Wrench;2
Sam Raimi;2
Ryan Murphy;2
Sameer Vidwans;2
RZA;2
Sachin;2
Saket Chaudhary;2
Salvador Calvo;2
Sam Dunn;2
Sam Hobkinson;2
Sanjay Jadhav;2
Sangeeth Sivan;2
Sang-ho Yeon;2
Santosh Sivan;2
Sara Colangelo;2
Smeep Kang;2
Sion Sono;2
Simon Stone;2
Simon J. Smith;2
